"pin","state","locs"
"172001","himachal pradesh","[31.29089_77.62292, 31.30427_77.64, 31.3149_77.60173, 31.32688_77.62646, 31.33902_77.60602, 31.3412_77.42834, 31.3436_77.52021, 31.34362_77.52015, 31.35018_77.58642, 31.36622_77.56051, 31.37111_77.54419, 31.39345_77.58216, 31.41969_77.66681, 31.42537_77.63101, 31.44758_77.63031, 31.4485_77.63156, 31.45652_77.61107, 31.45783_77.61107, 31.45939_77.66812, 31.46487_77.62187]"
"172002","himachal pradesh","[31.72528_78.51633, 31.39642_77.56604, 31.45513_77.59015, 31.50253_77.53829, 31.50448_77.56388, 31.52563_77.57834, 31.55452_77.53902, 31.55823_77.56811]"
"172101","himachal pradesh","[24.91655_86.2826, 31.52728_77.77894, 31.53144_77.74351, 31.55174_77.75985, 31.55683_77.78858, 31.55688_77.88216, 31.56936_77.85122, 31.59502_77.73235, 31.6031_77.75722, 31.60388_77.83895]"
"172102","himachal pradesh","[31.51206_77.79758]"
"172103","himachal pradesh","[31.55519_77.97681]"
"172104","himachal pradesh","[31.50814_78.05906, 31.51761_78.09778, 31.52857_78.08764, 31.53186_78.13081, 31.53526_78.14377, 31.5356_78.00812, 31.54608_78.00526, 31.54766_78.13652]"
"172105","himachal pradesh","[31.44101_78.20154, 31.46856_78.17718, 31.48277_78.16625, 31.502_78.17597, 31.51282_78.14568]"
"172106","himachal pradesh","[17.89456_78.0974, 31.3918_78.35325, 31.39182_78.35337, 31.42681_78.26728, 31.43064_78.22332, 31.43066_78.22326, 31.43226_78.25392]"
"172107","himachal pradesh","[22.52515_70.99686, 22.08007_71.15972, 30.68106_77.82983, 31.4922_78.20705, 31.51655_78.26884, 31.51663_78.26904, 31.54033_78.27228, 31.54811_78.26745, 31.54848_78.27379, 31.57471_76.84416, 31.58739_78.27467, 31.5906_78.30103]"
"172108","himachal pradesh","[31.51315_78.22987, 31.53861_78.25319, 31.54587_78.25893]"
"172109","himachal pradesh","[31.46623_78.57347, 31.55096_78.476, 31.5568_78.48077, 31.59919_78.44872, 31.61_78.4287, 31.65874_78.38159, 31.65878_78.3815]"
"172116","himachal pradesh","[31.57629_78.42387, 31.58375_78.38968, 31.58675_78.36689, 31.60087_78.35417]"
"172117","himachal pradesh","[31.95931_78.03257, 32.04386_78.09012, 32.05672_78.36478]"
"172201","himachal pradesh","[25.49485_85.9722, 25.56679_83.67368, 26.27973_82.96846, 26.32131_80.85329, 26.37583_82.18443, 26.60819_84.12167, 26.82522_82.65994, 26.82525_82.65994, 31.40016_77.58914, 31.4898_77.66147, 31.49264_77.70583, 31.50497_77.73655, 31.51672_77.68406, 31.53473_77.67723, 31.54558_77.69483, 31.54629_77.69785]"
"173101","himachal pradesh","[30.73781_77.31597, 30.75496_77.29633, 30.76743_77.33814, 30.79173_77.30369, 30.79998_77.29432, 30.82323_77.318, 30.83322_77.36795, 30.8357_77.33658, 30.83736_77.39543, 30.8516_77.35122, 30.85622_77.28619, 30.85788_77.29748, 30.86057_77.26269, 30.87389_77.2779, 30.91553_77.32615]"
"173104","himachal pradesh","[30.747_77.3527, 30.75131_77.4236, 30.75291_77.38272, 30.77209_77.40108, 30.7913_77.43559, 30.79649_77.36839, 30.80111_77.44039, 30.81275_77.42581, 30.82124_77.37318]"
"173201","himachal pradesh","[30.90181_76.56414]"
"173202","himachal pradesh","[30.90197_76.99406, 31.3747_77.72975]"
"173204","himachal pradesh","[30.9015_76.96453, 30.9015_76.96453, 30.90369_76.90369]"
"173205","himachal pradesh","[17.33653_74.68426, 18.83454_73.07714, 26.28684_72.27522, 30.93633_76.78759, 30.93936_76.77564, 30.95075_76.80398, 30.95351_76.77162, 30.95914_76.84047, 31.02186_76.82572, 31.94102_76.45459]"
"173206","himachal pradesh","[30.97533_76.99033, 30.97619_76.99469, 30.97621_76.99475, 30.97662_76.99075, 30.99446_76.97462, 31.02147_76.99213, 31.02155_76.99227]"
"173207","himachal pradesh","[25.70942_82.09078, 26.96012_80.65972, 30.44841_77.94068, 31.05979_77.0416, 31.0598_77.04159, 31.06713_76.94609, 31.07126_76.99928, 31.07134_76.99923, 31.07279_76.9963, 31.07705_77.04928, 31.07712_77.04931, 31.0783_76.99011, 31.07836_76.96406, 31.0798_76.92305, 31.08126_76.97357, 31.08912_76.9722]"
"173208","himachal pradesh","[31.11717_76.96859, 31.14104_76.96933, 31.14767_76.98968, 31.15019_76.99256, 31.15236_76.96558, 31.15247_76.96547, 31.18239_76.99273, 31.18913_76.98614]"
"173209","himachal pradesh","[30.87534_77.03082, 30.87755_76.99428, 30.90139_77.02389, 30.90277_77.0046, 30.92742_76.99342, 30.93132_77.01141]"
"173210","himachal pradesh","[30.87822_77.05819]"
"173211","himachal pradesh","[30.90814_77.08897]"
"173212","himachal pradesh","[30.89031_77.10501, 30.90533_77.10794, 30.91233_77.10581]"
"173213","himachal pradesh","[30.92442_77.09803]"
"173214","himachal pradesh","[30.92897_77.11394]"
"173215","himachal pradesh","[30.96458_77.11097]"
"173217","himachal pradesh","[30.96861_77.19811]"
"173218","himachal pradesh","[31.0678_76.8855, 31.06838_76.90279, 31.06838_76.90279, 31.08489_76.88918, 31.08576_76.86722, 31.08636_76.86483]"
"173220","himachal pradesh","[30.77306_77.0394, 30.8267_77.00759, 30.83975_76.95744, 30.84388_76.95381, 30.84392_76.95378]"
"173221","himachal pradesh","[31.07124_76.95337, 31.07808_76.93903, 31.11139_76.94606, 31.11988_76.90205, 31.13227_76.9275, 31.13488_76.88176, 31.17515_76.84942, 31.22669_76.93131, 32.4994_75.95283]"
"173222","himachal pradesh","[31.05469_77.02458]"
"173223","himachal pradesh","[30.86964_77.1445]"
"173225","himachal pradesh","[30.93614_76.96375, 30.94031_76.9795, 30.95088_76.9493]"
"173229","himachal pradesh","[30.77362_77.14651, 30.8049_77.11821, 30.81312_77.06727, 30.82865_77.13611, 30.83703_77.06372, 30.85046_77.08657, 30.85875_77.03056, 30.86305_77.09907, 30.89006_77.05794]"
"173230","himachal pradesh","[30.85911_77.16858]"
"173233","himachal pradesh","[30.94947_76.92157, 30.94958_76.9218, 30.9606_76.8878, 31.60197_76.61689]"
"173234","himachal pradesh","[31.00964_77.09078]"
"173235","himachal pradesh","[31.19936_76.91988, 31.19937_76.9199, 31.19937_76.91991, 31.24717_76.88599]"
"173236","himachal pradesh","[30.98746_76.97738, 30.99147_76.9752, 31.02472_76.96202, 31.02849_76.88432, 31.02878_76.88424, 31.02914_76.8836, 31.06133_76.9063, 31.06773_76.88649]"
"174503","himachal pradesh","[31.35995_76.18778, 31.37925_76.18904, 31.38467_76.19675]"
"174505","himachal pradesh","[31.62794_76.50969, 31.63903_76.49376]"
"174507","himachal pradesh","[31.31136_76.28814, 31.32837_76.26821, 31.33733_76.27231, 31.35336_76.27878, 31.36259_76.27137, 31.37359_76.263]"
"175001","himachal pradesh","[31.70183_76.93472, 31.72064_76.93519, 31.77278_76.91533, 31.65613_76.88893, 31.6812_76.9144, 31.70158_76.92514, 31.70886_76.93286, 31.70944_76.93922, 31.71608_76.91284, 31.74119_76.94023, 31.74309_76.93518, 31.77164_76.93464, 31.80013_76.94754, 31.82063_76.93824]"
"175002","himachal pradesh","[31.53033_76.88833, 31.53568_76.85733, 31.55591_76.86871, 31.56147_76.89698]"
"175003","himachal pradesh","[31.77317_76.85768, 31.73711_76.86045, 31.75403_76.86297, 31.75747_76.87369, 31.78301_76.86561, 31.79181_76.87743, 31.7963_76.83449, 31.80156_76.84847]"
"175004","himachal pradesh","[31.59214_76.73489]"
"175005","himachal pradesh","[31.7954_77.05086, 31.75722_76.96774, 31.77831_76.98398, 31.79736_77.01811, 31.8022_77.0507, 31.83841_76.99985]"
"175006","himachal pradesh","[31.60776_76.94944, 31.62202_76.97122, 31.62856_76.96172, 31.64855_76.9573, 31.66084_76.94842]"
"175007","himachal pradesh","[31.647_76.74983]"
"175008","himachal pradesh","[26.04028_86.28522, 31.58354_76.87896, 31.59844_76.84542, 31.62626_76.88702, 31.5985_76.84523, 31.59973_76.90186, 31.60282_76.87501, 31.60672_76.90892, 31.62107_76.86411, 31.63453_76.89427]"
"175009","himachal pradesh","[31.23763_77.15713, 31.27259_77.11167, 31.28062_77.03536, 31.29504_77.12737, 31.30039_77.15382, 31.3065_77.00534, 31.31985_76.97304]"
"175010","himachal pradesh","[31.18176_77.18048, 31.30834_77.21026, 31.32689_77.18326, 31.3289_77.14658, 31.34179_77.12601, 31.54322_76.90661]"
"175011","himachal pradesh","[31.4047_77.20961, 31.40478_77.20965, 31.40485_77.2097]"
"175012","himachal pradesh","[31.84487_76.92736, 31.8994_76.90065]"
"175015","himachal pradesh","[31.87998_76.78307, 31.91119_76.79163, 31.92353_76.88148, 31.93239_76.79623, 31.94747_76.88183, 31.94765_76.88189, 31.95295_76.80022, 31.96605_76.85245, 31.97136_76.79796, 31.98531_76.82714]"
"175017","himachal pradesh","[31.41682_76.85334]"
"175018","himachal pradesh","[31.42827_76.84256, 31.47074_76.83271, 31.47881_76.85041, 31.48326_76.91025, 31.48751_76.87302, 31.50116_76.83074, 31.51173_76.85395, 31.5439_76.92224, 31.71774_76.89452]"
"175019","himachal pradesh","[31.57908_76.91361]"
"175021","himachal pradesh","[19.6511_82.85478, 21.07038_74.86843, 21.07044_74.86836, 29.2696_77.66356, 30.46406_79.26896, 31.611_76.91978, 31.62318_76.9368, 31.62836_76.91939, 31.63978_76.9351, 31.65991_76.94459, 32.15574_76.3175]"
"175023","himachal pradesh","[31.63131_76.83128, 31.63956_76.85592]"
"175024","himachal pradesh","[31.69367_76.73369]"
"175025","himachal pradesh","[31.75592_76.71786]"
"175026","himachal pradesh","[31.75719_76.66631]"
"175027","himachal pradesh","[26.68223_84.92468, 31.52105_76.97161, 31.53637_76.96447, 31.54704_76.96827, 31.54884_76.94469, 31.56215_76.9486, 31.57606_76.96683, 31.57944_76.93166, 31.59267_76.97092]"
"175028","himachal pradesh","[31.51312_76.99599, 31.51312_76.99599, 31.51312_76.99599, 31.53971_77.03843, 31.55917_77.01833]"
"175029","himachal pradesh","[25.61105_77.70364, 31.57958_77.03661, 31.58527_77.11123, 31.59401_76.99723, 31.59692_77.12503, 31.61035_77.06987, 31.61259_77.10381, 31.61305_77.00002]"
"175030","himachal pradesh","[31.42444_76.81333, 31.43567_76.82557, 31.43873_76.8077, 31.48125_76.80965, 31.48664_76.79368]"
"175031","himachal pradesh","[31.41756_77.08876, 31.43101_77.0701, 31.44284_77.0443, 31.44398_77.04676, 31.4611_77.02967, 31.4662_76.97162, 31.47684_76.99613, 31.50189_76.94878, 31.5324_76.90396, 31.98148_76.43546, 33.17109_74.18474]"
"175032","himachal pradesh","[32.01664_76.74997]"
"175033","himachal pradesh","[31.55728_76.76422]"
"175034","himachal pradesh","[31.52_76.76472]"
"175035","himachal pradesh","[31.55548_77.09846, 31.56139_77.12361, 31.59763_77.16194, 31.59885_77.20776, 31.61119_77.24199, 31.61734_77.20189]"
"175036","himachal pradesh","[26.66837_79.44746, 31.53638_76.81821, 31.54352_76.83666, 31.55476_76.82517, 31.56883_76.83492, 31.57178_76.8713, 31.5815_76.83254]"
"175037","himachal pradesh","[31.71494_76.68975]"
"175038","himachal pradesh","[31.38175_76.97456, 31.40381_77.03053, 31.53244_76.90376]"
"175039","himachal pradesh","[31.49186_77.09398, 31.51833_77.07528]"
"175040","himachal pradesh","[31.80219_76.76056]"
"175042","himachal pradesh","[31.68892_76.71075]"
"175045","himachal pradesh","[31.55124_76.90374, 31.56701_77.00019]"
"175046","himachal pradesh","[31.37717_77.07629, 31.38038_77.14874, 31.38811_77.12369, 31.41783_77.1391]"
"175047","himachal pradesh","[31.4587_77.29098, 31.46531_77.29023, 31.48727_77.31658, 31.4894_77.30363, 31.49964_77.20961, 31.51972_77.21917]"
"175048","himachal pradesh","[31.54528_77.20814, 31.55611_77.16844, 31.55814_77.18717, 31.57752_77.22736, 31.57776_77.22745]"
"175049","himachal pradesh","[31.64619_76.79158, 31.64852_76.95737]"
"175050","himachal pradesh","[31.82258_76.70372]"
"175051","himachal pradesh","[31.86564_76.71275]"
"175052","himachal pradesh","[31.74908_76.89442, 31.76614_76.90716]"
"175101","himachal pradesh","[31.62886_77.11297, 31.94182_77.09596, 31.94263_77.12337, 31.96224_77.09136, 31.96542_77.11589, 31.96547_77.11597]"
"175102","himachal pradesh","[31.9655_77.05603, 31.99844_77.02775, 32.01097_77.01107]"
"175103","himachal pradesh","[32.25908_77.17569, 32.26568_77.1885, 32.29279_77.17225, 32.30969_77.17346]"
"175104","himachal pradesh","[32.07084_77.13763, 32.0895_77.14625]"
"175105","himachal pradesh","[31.99819_77.24628]"
"175106","himachal pradesh","[31.70439_77.31457, 31.6277_77.27486, 31.65767_77.29033, 31.68836_77.28122, 31.7002_77.28179, 31.70022_77.23372, 31.71133_77.26461]"
"175121","himachal pradesh","[31.6613_77.21414, 31.68116_77.20653, 31.68119_77.2065, 31.71202_77.20084, 31.74269_77.20803]"
"175123","himachal pradesh","[16.9305_74.4821, 23.02211_74.16127, 26.0415_87.36478, 27.17817_77.94472, 27.46331_76.79688, 29.49235_80.12551, 29.49248_80.12565, 31.51208_77.2947, 31.56309_77.30107, 31.56447_77.302, 31.57228_77.36404, 31.57434_77.2914, 31.57434_77.2914, 31.57491_77.29126, 31.57943_77.32436, 31.59158_77.35161, 31.59314_77.34866, 31.60062_77.47976, 31.60291_77.31951, 31.60852_77.46035, 31.61957_77.31381, 31.61989_77.42156, 31.62071_77.32133, 31.63264_77.50936, 31.63758_77.42961, 31.63838_77.43132, 31.63983_77.40277, 31.66118_77.3864, 31.66568_77.39171, 31.66617_77.30359, 31.68003_77.34498, 31.68379_77.33382, 33.14337_75.5778]"
"175124","himachal pradesh","[31.66742_77.05903]"
"175125","himachal pradesh","[31.87035_77.16405, 31.87047_77.16386, 31.88422_77.02897]"
"175126","himachal pradesh","[31.89336_77.13931]"
"175128","himachal pradesh","[32.03559_77.12684, 32.05369_77.134, 32.06692_77.12383]"
"175129","himachal pradesh","[32.09443_77.08829, 32.09664_77.1267, 32.10019_77.13706, 32.1157_77.14688, 32.13352_77.14603, 32.15801_77.16101, 32.15814_77.16083]"
"175130","himachal pradesh","[32.11272_77.16494, 32.11994_77.19588]"
"175131","himachal pradesh","[31.24581_77.18717, 32.16871_77.17851, 32.18635_77.18695, 32.24359_77.18888, 32.25648_77.17621]"
"175132","himachal pradesh","[32.572_77.02828, 32.61284_77.14723, 32.61289_77.14727, 32.62656_77.16473, 32.67431_77.20028]"
"175133","himachal pradesh","[32.6005_76.94231]"
"175134","himachal pradesh","[31.74512_77.30922, 31.75215_77.27713, 31.75221_77.2771, 31.76496_77.33227, 31.78333_77.31686, 31.76468_77.2811, 31.76769_77.36174, 31.76983_77.30161, 31.77508_77.27042, 31.79648_77.26029]"
"175136","himachal pradesh","[25.44045_85.62292, 21.30831_73.00835, 32.14861_77.17347, 32.16288_77.18843]"
"175138","himachal pradesh","[31.97304_77.13096, 31.9989_77.12966, 32.00228_77.12828]"
"175139","himachal pradesh","[32.63717_76.84747]"
"175140","himachal pradesh","[32.51328_77.01381]"
"175141","himachal pradesh","[31.84353_77.23436, 31.85172_77.20326]"
"175142","himachal pradesh","[32.72631_76.66228]"
"175143","himachal pradesh","[32.18015_77.19581, 32.20017_77.20069, 32.23715_77.21295]"
"176001","himachal pradesh","[22.88896_74.43837, 22.24623_81.99653, 32.08017_76.19089, 32.08093_76.25746, 32.0823_76.23777, 32.09166_76.26315, 32.09915_76.22267, 32.09977_76.30064, 32.10073_76.28629, 32.10503_76.27428, 32.10913_76.30025, 32.11982_76.26833, 32.12823_76.29193, 32.13254_76.28239, 32.15155_76.33546, 32.16134_76.31107, 32.16237_76.3413, 33.1572_74.26749]"
"176021","himachal pradesh","[32.12492_75.94858, 32.15256_75.94813, 32.15257_75.94813, 32.15724_75.96535, 32.16864_75.95647, 32.17806_75.96682, 32.1844_75.93471, 32.19899_75.94933]"
"176022","himachal pradesh","[32.12454_75.89016, 32.12478_75.89145, 32.12933_75.92691, 32.1342_75.86218, 32.14349_75.92445, 32.1461_75.90398, 32.16253_75.57475, 32.16594_75.85862, 32.16609_75.93315, 32.16964_75.88026, 32.17381_75.84077, 32.18246_75.80677, 32.18849_75.89924, 32.19011_75.91205]"
"176023","himachal pradesh","[32.08298_76.06874, 32.09292_75.99404, 32.101_76.04663, 32.10681_76.00118, 32.11222_75.99242, 32.11929_76.06668, 32.11929_76.0667, 32.12238_76.00305, 32.13063_75.98614, 32.14481_75.9954, 32.14581_76.00179, 32.14971_76.0307, 32.15512_75.99386, 32.16466_76.01897, 32.19308_75.99935, 32.19315_75.9994, 32.19317_75.99937]"
"176025","himachal pradesh","[25.97961_74.62575, 31.97132_75.91387, 31.99057_75.94233, 31.99783_75.91974, 32.04533_75.96236, 32.06735_75.95892, 32.0674_75.9589, 32.06744_75.95889, 32.16316_75.90776]"
"176026","himachal pradesh","[32.07297_76.13569, 32.09772_76.14514]"
"176027","himachal pradesh","[32.02999_76.09352, 32.04532_76.08865, 32.05672_76.08867, 32.0743_76.07158]"
"176028","himachal pradesh","[31.91371_76.19503, 31.95342_76.17076, 31.97463_76.13463, 31.98188_76.14705, 31.99038_76.17614, 32.00419_76.16081]"
"176029","himachal pradesh","[31.92474_76.27295, 31.93835_76.26305, 31.95843_76.27343, 31.96901_76.2415, 31.98781_76.2345, 31.99067_76.21693, 32.00543_76.20723, 32.00754_76.24773, 32.01889_76.22875, 32.02818_76.20952, 32.03593_76.22043, 32.04704_76.18666, 32.04804_75.71026, 32.10204_76.31702, 33.80862_74.29579]"
"176030","himachal pradesh","[31.90964_76.38183, 31.91727_76.41488, 31.94104_76.36224]"
"176031","himachal pradesh","[31.8158_76.42193, 31.83017_76.27674, 31.84423_76.33602, 31.84968_76.29918, 31.85844_76.32589, 31.87406_76.31972, 31.90537_76.31635, 31.90712_76.28423, 31.9181_76.31762, 31.94127_76.31778, 31.98123_76.43113]"
"176032","himachal pradesh","[31.82372_76.39453, 31.85933_76.37419]"
"176033","himachal pradesh","[23.44298_80.58427, 21.09057_75.03975, 21.3968_71.42548, 21.39696_71.42543, 21.39698_71.42539, 31.99628_76.14408, 32.02468_76.14513, 32.03243_76.20363, 32.15929_76.0632, 33.00539_74.40644]"
"176036","himachal pradesh","[31.78626_76.36655, 31.79436_76.38387, 31.79733_76.3357, 31.79944_76.31727, 31.80842_76.35389, 31.81714_76.30313, 31.82292_76.32797]"
"176037","himachal pradesh","[32.00526_76.32741, 32.01562_76.27539, 32.0181_76.35024, 32.02204_76.33354, 32.02336_76.28482, 32.02808_76.29669, 32.03164_76.32895, 32.03849_76.29051]"
"176038","himachal pradesh","[32.03498_76.25873, 32.04352_76.27382, 32.04358_76.27383, 32.06074_76.23306, 32.0681_76.25371, 32.08836_76.25811]"
"176039","himachal pradesh","[31.47303_76.55125]"
"176040","himachal pradesh","[31.52833_76.54078]"
"176041","himachal pradesh","[31.56052_76.56051, 31.59576_76.59663, 31.60071_76.54646, 31.60165_76.61785, 31.60177_76.6179, 31.60676_76.58209, 31.60778_76.56208, 31.61772_76.62321, 31.61926_76.53766]"
"176042","himachal pradesh","[31.53598_76.59906, 31.54467_76.58855, 31.55781_76.60757, 31.57314_76.59489]"
"176043","himachal pradesh","[31.58369_76.63467, 31.58954_76.62332, 31.59397_76.63843, 31.60617_76.64753]"
"176044","himachal pradesh","[31.59832_76.66451, 31.59879_76.66464, 31.60267_76.69564]"
"176045","himachal pradesh","[31.61483_76.63756, 31.6155_76.64664, 31.6354_76.66507, 31.63776_76.65023, 31.63776_76.65024, 31.64104_76.62296, 31.65626_76.63833, 31.6667_76.65231]"
"176047","himachal pradesh","[17.46085_73.2604, 27.44767_78.97349, 30.10772_76.38089, 32.04199_76.36968, 32.04903_76.38021, 32.06114_76.37414, 32.0864_76.38171, 32.08704_76.39959, 32.08892_76.36535, 32.1132_76.40537, 32.11322_76.41755, 32.11791_76.39102, 32.12018_76.38356, 32.12147_76.36383, 32.13143_76.41384]"
"176048","himachal pradesh","[31.59319_76.71703, 31.61939_76.69343]"
"176049","himachal pradesh","[25.95528_79.38923, 26.018_83.03192, 26.97515_81.30776, 27.75065_80.49923, 27.99226_80.91591, 31.46078_76.60272, 31.48394_76.59139]"
"176051","himachal pradesh","[32.21286_75.915, 32.21411_75.88383, 32.21593_75.9368, 32.22627_75.92428, 32.22914_75.87906, 32.23576_75.92271, 32.24398_75.90214, 32.24543_75.89111]"
"176052","himachal pradesh","[32.14505_76.41781, 32.1474_76.40758, 32.14833_76.41932, 32.14983_76.39092, 32.15901_76.41048, 32.1638_76.40041, 32.17378_76.38456]"
"176053","himachal pradesh","[32.07673_75.9503, 32.08823_75.90405, 32.09872_75.93936, 32.11335_75.93529, 32.11492_75.89956]"
"176054","himachal pradesh","[31.99532_76.29554, 27.9231_76.48821, 31.95231_76.32923, 31.97315_76.33749, 31.98033_76.37417, 31.98511_76.31411, 31.99131_76.28347, 31.99382_76.3716, 31.99728_76.31444]"
"176055","himachal pradesh","[31.95619_76.43708, 31.93745_76.39846]"
"176056","himachal pradesh","[32.05236_76.3461, 32.0526_76.34599, 32.06915_76.33773, 32.08214_76.32806, 32.08232_76.32792, 32.08451_76.35025, 32.08454_76.34986, 32.08485_76.35008, 32.09214_76.34056, 32.11513_76.32092, 32.11664_76.34474, 32.11749_76.34536, 32.11825_76.32961, 32.13365_76.37333, 32.1521_76.36004]"
"176057","himachal pradesh","[32.17321_76.32886, 32.18217_76.32518, 32.18755_76.36157, 32.1901_76.35439, 32.19828_76.33789, 32.20056_76.36855]"
"176058","himachal pradesh","[31.98669_75.85744, 31.98903_75.89699, 31.9996_75.86542, 32.00722_75.84352, 32.01373_75.88585, 32.01949_75.80456, 32.02517_75.85452, 32.04185_75.80992, 32.05505_75.85723, 32.08161_75.83826]"
"176059","himachal pradesh","[32.09241_76.46779, 32.10704_76.46312, 32.11582_76.46893, 32.11795_76.49768, 32.12295_76.48895, 32.13475_76.46739, 32.1479_76.47622, 32.15617_76.45079, 32.46969_76.23479]"
"176060","himachal pradesh","[32.07978_76.42853, 32.08814_76.44561, 32.09077_76.4392]"
"176061","himachal pradesh","[23.32827_72.40553, 24.72655_84.27418, 22.00761_87.49463, 22.19065_81.96737, 26.83379_76.69861, 27.25259_78.59929, 27.38681_80.61735, 30.05762_78.56761, 32.05979_76.59781, 32.06954_76.54847, 32.07378_76.5369, 32.08195_76.53086, 32.0838_76.65469, 32.08452_76.58256, 32.09403_76.57159, 32.09555_76.59236, 32.10116_76.52241, 32.10443_76.61222, 32.10656_76.52849, 32.10728_76.53206, 32.108_76.4891, 32.1096_76.57545, 32.11013_76.59369, 32.11222_76.49962, 32.11372_76.51594, 32.12015_76.56658, 32.12047_76.53623, 32.12506_76.57269, 32.13896_76.5433, 32.14552_76.52851]"
"176062","himachal pradesh","[32.10314_76.55103]"
"176063","himachal pradesh","[31.93344_76.52786, 32.01958_76.60512, 32.03033_76.59713, 32.03419_76.60815, 32.04107_76.59367, 32.04411_76.61522, 32.05044_76.59237]"
"176064","himachal pradesh","[31.08161_76.46194, 32.05143_76.45072, 32.05873_76.44594, 32.05874_76.44583, 32.07363_76.41829, 32.078_76.47138, 32.08227_76.48705, 32.09081_76.49181]"
"176065","himachal pradesh","[32.02858_76.40522, 32.04613_76.41175]"
"176066","himachal pradesh","[31.8385_76.26222]"
"176071","himachal pradesh","[31.96694_76.64469, 31.97792_76.63218, 31.97949_76.65201]"
"176073","himachal pradesh","[31.89306_76.48806, 31.90713_76.49759, 31.91845_76.50069]"
"176075","himachal pradesh","[31.5525_76.47122]"
"176076","himachal pradesh","[24.85298_80.82025, 24.65305_82.11214, 27.61329_95.78527, 31.95904_76.61512, 31.97888_76.61356, 31.99357_76.59208, 32.00497_76.6105, 32.05478_76.61186]"
"176077","himachal pradesh","[32.00069_76.65933, 32.03972_76.74017]"
"176081","himachal pradesh","[32.06428_76.61842, 32.06825_76.62357, 32.07376_76.59624, 32.07492_76.60939]"
"176082","himachal pradesh","[31.84639_76.50592, 31.84523_76.49129, 31.86299_76.48612, 31.86378_76.49859, 31.86416_76.51198, 31.8674_76.51843, 32.18771_76.31446]"
"176083","himachal pradesh","[24.32161_79.93942, 22.16795_80.48489, 21.51887_80.02922, 31.58475_76.72253, 32.01275_76.46456, 32.01516_76.47326, 32.02895_76.51802, 32.03113_76.46221, 32.03628_76.51285, 32.05031_76.48891, 32.05229_76.52126, 32.05615_76.50371]"
"176084","himachal pradesh","[31.962_76.44565, 31.97053_76.45529, 31.971_76.42887, 31.97807_76.40919, 31.98392_76.44908]"
"176085","himachal pradesh","[32.05803_76.47275, 32.03544_76.46721, 32.04225_76.4751, 32.05005_76.46487]"
"176086","himachal pradesh","[31.94311_76.52452, 31.95935_76.52615, 31.96616_76.50924, 31.96914_76.52173, 31.97734_76.52192, 31.99033_76.53081]"
"176087","himachal pradesh","[32.00583_76.52022, 32.00746_76.52987, 32.01068_76.51333, 32.03008_76.53761, 32.02617_76.54015]"
"176088","himachal pradesh","[31.93872_76.64697, 31.91586_76.64412, 31.9269_76.67025, 31.9326_76.67284, 31.93332_76.64429, 31.93885_76.62253, 31.93937_76.60588, 31.94716_76.65518, 31.95221_76.64356]"
"176089","himachal pradesh","[31.87707_76.67025, 31.89917_76.66694, 31.90695_76.67009, 31.9084_76.66186]"
"176090","himachal pradesh","[31.85611_76.65242]"
"176091","himachal pradesh","[31.88808_76.63269, 31.87922_76.64835, 31.89838_76.62121]"
"176092","himachal pradesh","[31.84639_76.50592, 31.95321_76.46041, 31.98146_76.50281, 31.98295_76.46549, 31.98977_76.48624, 31.99409_76.49998, 32.66915_75.691]"
"176093","himachal pradesh","[27.12263_95.12278, 31.90261_76.45779, 31.93405_76.49636, 31.94269_76.49869, 31.94453_76.48535, 31.96088_76.50641, 31.96544_76.48822]"
"176094","himachal pradesh","[31.05803_76.47275, 31.9502_76.54465, 31.96604_76.5602, 31.97305_76.5769, 31.98935_76.54488]"
"176095","himachal pradesh","[19.52221_83.91777, 19.61934_81.9634, 31.89961_76.59819, 31.90474_76.60889, 31.91268_76.61288, 31.91627_76.60041, 31.91723_76.58881, 31.92914_76.58917, 31.92983_76.60365]"
"176096","himachal pradesh","[28.2729_78.29164, 31.89705_76.53679, 31.89864_76.55706, 31.90518_76.5488, 31.92065_76.5264, 31.92957_76.54605, 31.93788_76.57078, 31.94885_76.57834]"
"176097","himachal pradesh","[31.88237_76.52107, 31.89414_76.51267]"
"176098","himachal pradesh","[31.83116_76.45143, 31.83987_76.47032, 31.84067_76.44445, 31.85347_76.47044, 31.86457_76.451]"
"176101","himachal pradesh","[31.01039_76.45078, 32.00441_76.44004, 32.01103_76.39258, 32.01393_76.43376, 32.01525_76.42183, 32.01908_76.43895, 32.03272_76.45218]"
"176102","himachal pradesh","[32.03989_76.49608, 32.06682_76.49268, 32.07556_76.51256, 32.07979_76.49896, 32.08389_76.50532]"
"176103","himachal pradesh","[32.01933_76.56829, 32.03886_76.56968, 32.04403_76.55792, 32.04605_76.58265, 32.05264_76.54127, 32.05458_76.56633, 32.06239_76.58107, 32.06685_76.56673]"
"176107","himachal pradesh","[31.93869_76.46117, 31.88878_76.4353, 31.90188_76.47068, 31.91765_76.43048, 31.93283_76.43221, 31.94277_76.47445]"
"176108","himachal pradesh","[31.81486_76.47825]"
"176109","himachal pradesh","[31.87492_76.57111, 31.88341_76.60084]"
"176110","himachal pradesh","[31.53033_76.88833, 31.81632_76.50371, 31.81651_76.53401, 31.82947_76.5143]"
"176111","himachal pradesh","[31.75444_76.56261, 31.77059_76.52886, 31.78575_76.53311, 31.79061_76.55373, 31.80056_76.52422, 31.80485_76.55246, 31.80495_76.55245]"
